Year,KK_Title,KK_Text
1887,"Сабырсыз, арсыз, еріншек","Сабырсыз, арсыз, еріншек,\nКөрсеқызар, жалмауыз,\nСорлы қазақ сол үшін \nАлты бақан алауыз.\nӨзін-өзі күндейді,\nЖақынын жалған міндейді,\nОл — арсыздық белгісі. \nҰятсынбай, ойланбай,\nҚой дегенге тіл алмай,\nІс қылмай ма ол кісі?\nБір-ақ секіріп шығам деп,\nБір-ақ ырғып түсем деп, \nМертігеді, жатады.\nҰрлықпен мал табам деп,\nЕгессе ауыл шабам деп,\nСүйтіп құдай атады.\nБұл нең десе біреуге,\nЖоқ нәрсені шатады.\nҚұтылам деп ісінен,\nБәрін көріп кісіден,\nШығынға әбден батады.\nБұл болмаса, онысы,\nАударылып қонысы,\nАлыстан дәм татады.\nҚызмет қылып мал таппай, \nҒылым оқып ой таппай,\nҚұр үйінде жатады.\nЕл қыдырып ас ішіп,\nЕркек арын сатады.\nБала-шаға, ұрғашы \nҮйде жарап қатады\nЕңбегі жоқ, еркесіп,\nБір шолақпен серкесіп,\nПысық деген ант шықты.\nБір сөз үшін жау болып,\nБір күн үшін дос болып, \nЖүз құбылған салт шықты. \nПысық кім деп сұрасаң –\nҚалаға шапса дем алмай, \nӨтірік арыз көп берсе, \nКөргендерден ұялмай. \nСыбырдан басқа сыры жоқ, \nШаруаға қыры жоқ,\nӨтірік, өсек мақтанға \nАғып тұрса бейне су. \nАт-шапаннан кем көрмес, \nБіреу атын қойса «қу».\nҚу нәпсісін тыя алмай, \nАтым шығып жүрсін деп, \nБерекеге қас болса, \nЖеліктірген айтаққа \nАрақ ішпей мас болса.\nЕл тыныш болса азады, \nЕрігіп өле жазады.\nҮйде отырса салбырап,\nТүзге шықса албырап,\nКісіні көрсе қылжаңдап, \nҚалжыңшылсып ыржаңдап, \nӨз үйінде қипаңдап,\nКісі үйінде күй таңдап. \nАқылы бар кісіні \nҒайбаттайды, даттайды. \nАуқаты бар туғанды \nҚайырсыз ит деп жаттайды.\nМал мен бақтың дұшпаны, \nКеселді пысық көбейді, \nКүшік иттей үріп жүр, \nКісіден кеммін демейді.\nҚу тілменен құтыртып, \nКетер бір күн отыртып, \nҚызмет қылған кісісін \nҚұрытуға таяйды.\nҚылып жүрген өнері:\nХарекәті — әрекет.\nӨзі оңбаған антұрған \nКімге ойлайды берекет? \nКімді ұялып аяйды?\nРасы жоқ сөзінің,\nЫрысы жоқ өзінің,\nӨңкей жалған мақтанмен \nШынның бетін бояйды.\nБұл сөзімде жалған жоқ, \nАйтылмай сөзім қалған жоқ, \nАбайлаңыз, байқаңыз –\nЕлдің жайы солай-ды."
1887,Біреуден біреу артылса,"Біреуден біреу артылса,\nӨнер өлшеніп тартылса, \nОқыған, білген — білген-ақ, \nНадан — надан-ақ сан қылса.\n\nОқыған білер әр сөзді, \nНадандай болмас ақ көзді.\nНадан жөндіге жөн келмей, \nБілер қайдағы шәргезді.\n\nНадан қуанар, арсаңдар, \nТаңырқап тұра қалсаңдар. \nТатымды ештеме болмас, \nАдамсып босқа талтаңдар.\n\nАқыл қайғы жоқ онда, \nІсі жоқ — теріс пе, оң ба? \nТіленіп, телміріп жоқ ізденіп,\nТыйын ба, яки бір сом ба?\n\nИт көрген ешкі көзденіп, \nЕлерме жынды сөзденіп. \nЖасынан үлгісіз шіркін,\nНе қылсын өнер ізденіп.\n\nКісімсіп белгілі білгіш, \nБіреуге сондай-ақ күлгіш. \nБұлықсып, бұлданып босқа, \nӨзімшіл, оңбаған шерміш .\n\nКісіде бар болса талап, \nОтырмас ол бойын балап, \nЖүрер, әрқайдан ізденер, \nАлар өз сүйгенін қалап."
1888,"Біреудің кісісі өлсе, қаралы — ол","Біреудің кісісі өлсе, қаралы — ол,\nҚаза көрген жүрегі жаралы — ол.\nКөзінің жасын тыймай жылап жүріп,\nЗарланып неге әнге салады ол?\n\nКүйеу келтір, қыз ұзат, тойыңды қыл,\nҚыз таныстыр — қызыққа жұрт ыржаңшыл. \nҚынаменде , жар-жар мен беташар бар,\nӨлеңсіз солар қызық бола ма гүл?\n\nБала туса, күзетер шілдехана,\nОлар да өлең айтар шулап жана.\nБұрынғы жақсылардан өрнек қалған,\nБиде тақпақ, мақал бар, байқап қара.\n\nТуғанда дүние есігін ашады өлең,\nӨлеңмен жер қойнына кірер денең.\nӨмірдегі қызығың бәрі өлеңмен,\nОйлансаңшы, бос қақпай елең-селең.\n\nӨлеңді айтпақ түгіл, ұға алмайсың,\nАйтсаң да, үддасынаншыға алмайсың.\nСен білмейді екен деп айтпасын ба,\nНеге мұнша сіресіп құп алмайсың?\n\nӨлең деген — әр сөздің ұнасымы,\nСөз қосарлық, орайлы жарасымы.\nСөзі тәтті, мағынасы түзу келсе,\nОған кімнің ұнасар таласуы?\n\nҚарны тоқ хасанадан ұқпас сөзді,\nСөзді ұғар көкірегі болса көзді.\nҚадірін жақсы сөздің білер жанға,\nТаппай айтпа оған да айтар кезді.\n\nСый дәметпе, берсе алма еш адамнан, \nНең кетеді жақсы өлең сөз айтқаннан? \nСүйсінерлік адамды құрмет қыл\nАулақ бол әнін сатып нәрсе алғаннан.\n\nКөп топта сөз танырлық кісі де аз-ақ, \nОндай жерде сөз айтып болма мазақ. \nБіреуі олай, біреуі бұлай қарап,\nТүгел сөзді тыңдауға жоқ қой қазақ.\n\nШортанбай, Дулат пенен Бұқар жырау, \nӨлеңі бірі — жамау, бірі — құрау. \nӘттең дүние-ай, сөз таныр кісі болса, \nКемшілігі әр жерде-ақ көрініп тұр-ау!\n\nМақсұтым — тіл ұстартып, өнер шашпақ,\nНаданның көзін қойып, көңілін ашпақ. \nҮлгі алсын деймін ойлы жас жігіттер, \nДуман-сауық ойда жоқ әуел баста-ақ."
1888,Желсіз түнде жарық ай,"Желсіз түнде жарық ай,\nСәулесі суда дірілдеп, \nАуылдың жаны терең сай, \nТасыған өзен күрілдеп.\n\nҚалың ағаш жапырағы \nСыбырласып өзді-өзі, \nКөрінбей жердің топырағы, \nҚұлпырған жасыл жер жүзі.\n\nТау жаңғырып, ән қосып \nҮрген ит пен айтаққа. \nКелмеп пе едің жол тосып \nЖолығуға аулаққа?\n\nТаймаңдамай тамылжып,\nБір суынып, бір ысып,\nДем ала алмай дамыл қып, \nЕлең қағып, бос шошып.\n\nСөз айта алмай бөгеліп, \nДүрсіл қағып жүрегі,\nТұрмап па еді сүйеніп, \nТамаққа кіріп иегі?"
1888,Көкбайға,"Бұралып тұрып,\nБуыны құрып,\nҚисайта тартып мұрынын; \nӘсемсіп, сәнсіп,\nБілгенсіп, бәлсіп,\nӘр нәрсенің орынын.\n\nКеренау, кердең, бір керім, \nЖақпайды маған сол жерің."
1888,Күз,"Сұр бұлт түсі суық қаптайды аспан,\nКүз болып, дымқыл тұман жерді басқан.\nТойғаны ма, білмеймін, тоңғаны ма,\nЖылқы ойнап, бие қашқан, тай жарысқан.\n\nЖасыл шөп, бәйшешек жоқ бұрынғыдай, \nЖастар күлмес, жүгірмес бала шулай. \nҚайыршы шал-кемпірдей түсі кетіп, \nЖапырағынан айрылған ағаш, қурай.\n\nБіреу малмасапсиды, салып иін , \nСалбыраңқы тартыпты жыртық киім.\nЕнесіне иіртіп шуда жібін,\nЖас қатындар жыртылған жамайды үйін.\n\nҚаз, тырна қатарланып қайтса бермен, \nАстында ақ шомшыжүр, ол бір керуен. \nҚай ауылды көрсең де, жабырқаңқы, \nКүлкі-ойын көрінбейді, сейіл-серуен.\n\nКемпір-шал құржаң қағып, бала бүрсең, \nКөңілсіз қара суық қырда жүрсең.\nКемік сүйек, сорпа-су тимеген соң,\nҮйде ит жоқ, тышқан аулап, қайда көрсең.\n\nКүзеу тозған, оты жоқ елдің маңы,\nТұман болар, жел соқса, шаң-тозаңы.\nОт жақпаған үйінің сұры қашып,\nЫстан қорыққан қазақтың құрысын заңы."
1888,Күлембайға,"Уағалайкүмүссәләм,\nБолыс, мал-жан аман ба? \nМынадайға кез болдың \nАума-төкпе заманда.\nЕл билеген адам жоқ \nАта менен бабаңда.\nБолыстықтан пайда қып, \nШығыныңды алсаң жаман ба? \nҚалжыңдаймын әншейін,\nОған келе де бермес шамаң да.\n\nОрныңнан тұра шабасың, \nАтшабар келсе қышқырып.\nОяз келсе қайтер ең, \nАйдаһардай ысқырып?\nОтырасың үйіңде,\nӨз-өзіңнен күш кіріп.\nБосқа-ақ түсіп қаларсың,\nБіреу кетсе үшкіріп!.."
1888,Қара қатынға,"Қара қатын дегенге, қара қатын,\nҮзіп-жұлып, алып жүр қанағатын.\nАла жаздай байың кеп бір жатпайды, \nҚазақтың не қыласың шарағатын."
1888,Қыс,"Ақ киімді, денелі, ақ сақалды,\nСоқыр, мылқау, танымас тірі жанды. \nҮсті-басы ақ қырау, түсі суық,\nБасқан жері сықырлап, келіп қалды.\nДем алысы — үскірік, аяз бен қар,\nКәрі құдаң — қыс келіп, әлек салды. \nҰшпадайбөркін киген оқшырайтып, \nАязбенен қызарып ажарланды.\nБұлттай қасы жауып екі көзін,\nБасын сіліксе, қар жауып, мазаңды алды. \nБорандай бұрқ-сарқ етіп долданғанда, \nАлты қанат ақ орда үй шайқалды.\nӘуес көріп жүгірген жас балалар, \nБеті-қолы домбығып, үсік шалды.\nШидеммен тон қабаттап киген малшы \nБет қарауға шыдамай теріс айналды.\nҚар тепкенге қажымас қайран жылқы \nТитығы құруына аз-ақ қалды.\nҚыспен бірге тұмсығын салды қасқыр,\nМалшыларым, қор қылма итке малды. \nСоныға малды жайып, күзетіңдер,\nҰйқы өлтірмес, қайрат қыл, бұз қамалды! \nИт жегенше Қондыбай, Қанайжесін,\nҚұр жібер мына антұрған кәрі шалды."
1888,"Қараша, желтоқсан мен сол бір-екі ай","Қараша, желтоқсан мен сол бір-екі ай\nҚыстың басы бірі ерте, біреуі жәй.\nЕрте барсам жерімді жеп қоям деп, \nЫқтырмамен күзеуде отырар бай.\n\nКедейдің өзі жүрер малын бағып,\nОтыруға отын жоқ үзбей жағып.\nТоңған иін жылытып, тонын илеп,\nШекпен тігер қатыны бүрсең қағып.\n\nЖас балаға от та жоқ тұрған маздап, \nТалтайып қақтана алмай, өле жаздап. \nКемпір-шалы бар болса, қандай қиын,\nБір жағынан қысқанда о да азынап.\n\nКәрі қой ептеп сойған байдың үйі,\nҚай жерінде кедейдің тұрсын күйі?\nҚара қидан орта қап ұрыспай берсе,\nО да қылған кедейге үлкен сыйы.\n\nҚар жауса да, тоңбайды бай баласы,\nҮй жылы, киіз тұтқан айналасы.\nБай ұлына жалшы ұлы жалынышты,\nАғып жүріп ойнатар көздің жасы.\n\nБай үйіне кіре алмас тұра ұмтылып,\nБала шықса асынан үзіп-жұлып,\nЫқ жағынан сол үйдің ұзап кетпес,\nҮйген жүктің күн жағын орын қылып.\n\nӘкесі мен шешесі баланы аңдыр,\nО да өзіңдей ит болсын, азғыр-азғыр.\nАсын жөндеп іше алмай қысылады, \nҚұрбысынан ұялып өңшең жалбыр.\n\nЖалшы үйіне жаны ашып ас бермес бай, \nАртық қайыр артықша қызметке орай.\nБайда мейір, жалшыда пейіл де жоқ, \nАңдыстырған екеуін құдайым-ай!\n\nАлса да аяншақтау кедей сорлы,\nЕңбек білмес байдың да жоқ қой орны.\nЖас бала, кемпір-шалын тентіретпей,\nБір қыс сақта, тас болма сен де о құрлы."
1889,Білектей арқасында өрген бұрым,"Білектей арқасында өрген бұрым, \nШолпысы сылдыр қағып жүрсе ақырын. \nКәмшат бөрік, ақ тамақ, қара қасты, \nСұлу қыздың көріп пе ең мұндай түрін?\n\nАласыз қара көзі айнадайын,\nЖүрекке ыстық тиіп салған сайын, \nҮлбіреген ақ етті, ашық жүзді,\nТісі әдемі көріп пе ең қыздың жайын?\nБұраң бел, бойы сұлу, кішкене аяқ, \nБолады осындай қыз некен-саяқ.\nПіскен алма сықылды тәтті қызды \nБоламын да тұрамын көргендей-ақ.\nЕгерде қолың тисе білегіне,\nЛүпілдеп қан соғады жүрегіңе.\nБетіңді тамағына таяп барсаң, \nШымырлап бу енеді сүйегіңе."
1889,Жарқ етпес қара көңілім не қылса да,"Жарқ етпес қара көңілім не қылса да,\nАспанда ай менен күн шағылса да,\nДүниеде, сірә, сендей маған жар жоқ,\nСаған жар менен артық табылса да.\n\nСорлы асық сарғайса да, сағынса да,\nЖар тайып, жақсы сөзден жаңылса да, \nШыдайды риза болып жар ісіне,\nҚорлық пен мазағына табынса да."
1889,Әуелде бір суық мұз — ақыл зерек,"Әуелде бір суық мұз — ақыл зерек,\nЖылытқан тұла бойды ыстық жүрек. \nТоқтаулылық, талапты, шыдамдылық,\nБұл — қайраттан шығады, білсең керек.\nАқыл, қайрат, жүректі бірдей ұста,\nСонда толық боласың елден бөлек.\nЖеке-жеке біреуі жарытпайды,\nЖол да жоқ жарыместі жақсы демек.\nАқыл да, ашу да жоқ, күлкі де жоқ, \nТулап, қайнап бір жүрек қылады әлек. \nБіреуінің күні жоқ біреуінсіз,\nҒылым сол үшеуінің жөнін білмек."
1889,"Ішім өлген, сыртым сау","Ішім өлген, сыртым сау,\nКөрінгенге деймін-ау:\nБүгінгі дос — ертең жау, \nМен не қылдым, япырмау?! \nӨз үйінде өзендей \nКүркірейді, айтса дау.\nКісі алдында кірбеңдеп, \nШабан, шардақ және шау. \nМұндай ма едің ана күн, \nМұның қалай, батыр-ау?\nҮш күн арқаң босаса,\nБола қалдың бас асау.\nЖан қысылса, жайтаңдап, \nЖанды еріткен жайдары-ау. \nЖан жай тапса, сен неге\nЖат мінезсің жабырқау? \nҰрлық пенен қулыққа \nБайлағанда, кестің бау. \nБерерменде бесеусің, \nАларманда және алтау.\nТоп болғанда көресің \nТүрлі дауды жүз тарау. \nАяғында сендейлер \nКөрмей жүр ме ханталау? \nҚайтып кірер есікті \nҚатты серіппе, жарқын-ау! \nЖетілсең де, жетсең де, \nКерек күні бір бар-ау."
1889,Білімдіден шыққан сөз,"Білімдіден шыққан сөз\nТалаптыға болсын кез.\nНұрын, сырын көруге\nКөкірегінде болсын көз.\n\nЖүрегі — айна, көңілі ояу,\nСөз тыңдамас ол баяу.\nӨз өнері тұр таяу,\nҰқпасын ба сөзді тез?\n\nӘбілет басқанелерме,\nСөзге жуық келер ме?\nТүзу сөзге сенер ме\nТүзелмесін білген ез?\n\n«Айтшы-айтшылап» жалынар,\nҰққыш жансып шабынар.\nҰқпай жатып жалығар,\nҰйқылы-ояу бойкүйез.\n\nЖас баладай жеңсікқой,\nБайлаулы емес ақыл, ой,\nОйлағаны — айт пен той,\nЫржаң-қылжаң ит мінез.\n\nСұлу қыз бен я батыр\nБолмаған соң, тәңірі алғыр,\nШығып кетер, я қалғыр,\nОған ақыл — арам без.\n\nЖақсыға айтсаң, жаны еріп,\nҰғар көңіл шын беріп,\nДертті ішіне ем көріп,\nНеге алтынды десін жез.\n\n«Ой, тәңір-айшыл» кер есек,\nҚулық, сұмдық я өсек.\nБолмаған соң, бір есеп –\nМейлі қамқа, мейлі бөз."
1889,"Болыс болдым, мінеки","Болыс болдым, мінеки,\nБар малымды шығындап.\nТүйеде қом, атта май \nҚалмады елге тығындап.\nСүйтсе дағы елімді\nҰстай алмадым мығымдап.\nКүштілерім сөз айтса,\nБас изеймін шыбындап.\nӘлсіздің сөзін салғыртсып,\nШала ұғамын қырындап.\nСыяз бар десе, жүрегім\nОрнықпайды суылдап.\nСыртқыларға сыр бермей,\nҚұр күлемін жымыңдап.\n\nЖай жүргенде бір күні\nАтшабар келді лепілдеп:\n«Оязшықты, сыяз бар»,\n«Ылау » деп, «үй» деп дікілдеп.\nСасып қалдым, күн тығыз,\nЖүрек кетті лүпілдеп.\nТың тұяқ күнім, сүйтсе де,\nҚарбаңдадым өкімдеп.\nСтаршын , биді жиғыздым:\n«Береке қыл» деп, «бекін» деп,\n«Ат жарамды, үй жақсы\nБолсын, бәрің күтін» деп.\nҚайраттанып халқыма\nСөз айтып жүрмін күпілдеп:\n«Құдай қосса, жұртымның\nАқтармын осы жол сүтін» деп,\nҚайраттысып, қамқорсып,\nСайманымды бүтіндеп.\n\nОңашада оязға \nМақтамаймын елімді,\nӨз еліме айтамын:\n«Бергем жоқ, — деп, — белімді». \nМақтанамын кісімсіп,\nОязға сөзім сенімді.\nКөрсеттім деймін, ымдаймын \nКәдік қылар жерімді.\nСөз көбейді, ұлғайды, \nМақтанның көті көрінді.\nҚазақты жеген қайратты «ер»\nҰрынды да берінді.\nӘрлі-берлі тартысып,\nІсі арамы жеңілді.\nАлқыны күшті асаулар \nНоқтаға басы керілді. \nҮлкен-кіші ақының\nБәрі сөз боп терілді.\nҚайрауы жеткен қатты би \nҚайрылып нетсін көңілді.\nӨз малым деп қойған мал \nИесіне берілді.\nАқылы жандар қамалап, \nКептірді сонда ерінді. \nАрызшылар көбейді,\nБолыстың көті шөмейді, \nҚайтсін байғұс демейді,\nБір кептірмей терімді.\nКүн батқанша шабамын \nӘрлі-берлі далпылдап.\nЕтек кеткен жайылып \nАт көтіне жалпылдап.\nОязға жетсін деген боп, \nБоқтап жүрмін барқылдап. \nКейбіреуге таяғым \nТиіп те кетті бартылдап. \nПысықтың көбі бұғып жүр,\nБеттесе алмай шаңқылдап. \nАшылып омырау, күн ыстық, \nҚойын кетті алқылдап.\nЕлі жөнді болыстар \nМақтанып жүр тарқылдап. \nКүлкісі бөлек қарқылдап,\nҮні бөлек сартылдап.\nСөйлесе кетсе бір жерде, \nАғыны қатты аңқылдап.\nОязға кірсе, өзгеден \nМерейі үстем жарқылдап.\nЕлің бұзық болған соң,\nОяз жатыр шартылдап. \nТабаныңнан тозасың,\nҚұр жүгіріп тарпылдап.\nАнтұрғанмын өзім де,\nБір мінезбен өтпеймін.\nМомындық күшті екенін,\nКөрсем дағы күтпеймін.\nСыяздан соң елімді\nҚысып алып кетпеймін.\nӘуелде көтім бос кәпір,\nМықтыға не қып беттеймін?\nЖуанды қойып, жуасты\nБіраз ғана шеттеймін.\nОяз бардағы қылықты\nОяз жоқта етпеймін.\nКәкір-шүкір, көр-жерді\nПайда көріп ептеймін.\nМынау арам, тентек деп,\nЕш кісіні теппеймін.\nӨзімдік бол деп ел жиып,\nҚұрастырып, септеймін.\nБұзақының бүлігін\n«Жақсы ақыл» деп, «құп» деймін.\n\nСүйегім жасық, буын бос,\nБіраз ғана айлам бар.\nАйлам құрсын, білемін — \nБолыстықтың жолы тар.\nҚайтіп көмек болады\nАнтұрған өңкей ұры-қар?\nКөргенім әлгі, ойлашы,\nҰят, намыс, қалды ма ар?\nЕндігі сайлау болғанда,\nТүсе ме деп тағы шар,\nБұл күніме бір күні\nБоламын ғой деймін зар.\nАқыл жеткен туғандар,\nБұл сөзімді ойлаңдар.\nКәтелешкекөбейді,\nСөгіс естіп, тозды ажар.\nМынау елді ұстарлық\nКісі емеспін, кел, құтқар!\nҚолдан келмес қорлыққа\nНеге болдым мұнша іңкәр?\nЕл жайылды, жетпей ме\nОязға да бір хабар?\nТағы бүйтіп кеттің деп\nҚозғау салар, қолға алар.\nҚатты қысым қылған соң,\nБасым сотқа айналар. \nКірік болып түскен соң, \nКөрген күнім не болар? \nӨзіне мәлім, тентектер \nӨз бетімен не табар? \nҚағаз берер, қарманар, \nАяғында сандалар.\n\nБұрынғыдай дәурен жоқ, \nҰлық жолы тарайды. \nӨтірік берген қағаздың \nАлды-артына қарайды.\nӨз қағазы өз көзін \nЖоғалтуға жарайды. \nТауып алып жалғанын, \nҚылмысыңды санайды. \nӨзі залым закүншік \nТанып алды талайды, \nКөрмей тұрып құсамын\nТемір көзді сарайды."
1889,"Жастықтың оты, қайдасың","Жастықтың оты, қайдасың, \nЖүректі түртіп қозғамай? \nҒылымның біліп пайдасын, \nДүниенің көркін болжамай?\n\nАдамның тауып айласын, \nКісілікті ойламай.\nҚаруын көңіл сайласын,\nҚолға ол түспес бойламай.\n\nМахаббат, қызық кім көрер, \nОның да дәмін татпаса?\nБіржола басты кім берер, \nЖаныңа қайғы батпаса?\n\nАямай жанын дос ерер, \nЖолдастықты ақтаса.\nАлдыңа айдап кім келер, \nЕрінбей жүріп бақпаса.\n\nМал бақпақтық шаруа боп, \nАдал тауып асықпай.\nҚұр айғаймен әуре боп, \nӨнердің жайын баса ұқпай.\n\nЕнді нені істейміз,\nБәрінен де бос қалдық? \n«Ауызға келіп түс» дейміз, \nҚылып жүріп құр салдық!"
1889,"Ғашықтық, құмарлық пен — ол екі жол","Ғашықтық, құмарлық пен — ол екі жол,\nҚұмарлық бір нәпсі үшін болады сол.\nСенен артық жан жоқ деп ғашық болдым, \nМен не болсам болайын, сен аман бол.\n\nКөңілімнің рақаты сен болғансың,\nЖасырынба, нұрыңа жан қуансын.\nБірге жаққан біреуге жақпаушы еді,\nСүйкімді тірі жанға неткен жансың?!\n\nҒашықтық келсе, жеңер бойыңды алып, \nЖүдетер безгек ауру сықылданып.\nТұла бой тоңар, суыр, үміт үзсе,\nДәмеленсе өртенер күйіп-жанып."
1889,Жігіт сөзі,"Айттым сәлем, қалам қас,\nСаған құрбан мал мен бас. \nСағынғаннан сені ойлап,\nКелер көзге ыстық жас.\n\nСенен артық жан тумас,\nТуса туар — артылмас.\nБір өзіңнен басқаға \nЫнтықтығым айтылмас.\n\nАсыл адам айнымас,\nБір бетінен қайрылмас. \nКөрмесем де, көрсем де, \nКөңілім сенен айрылмас.\n\nКөзім жатқа қарамас,\nЖат та маған жарамас.\nТар төсекте төсіңді \nИіскер ме едім жалаңаш?\n\nИығымда сіздің шаш, \nАйқаласып тай-талас,\nЛәззат алсақ болмай ма,\nКөз жұмулы, көңіл мас?\n\nСізде сымбат, бізде ықылас, \nОсы сөзім бәрі рас.\nСіздей жардың жалғанда, \nҚызығына жан тоймас.\n\nЕтің етке тигенде,\nДемің тиіп сүйгенде,\nБой шымырлап, тән еріп, \nІшім оттай күйгенде.\n\nЖүрек балқып игенде, \nІшкі сырды түйгенде, \nІздеп табар сұңқармын, \nЖарастықты шүйгенде.\n\nҚылығыңда жоқ оғат,\nҚарап тойман жүз қабат. \nЫстық тартып барасың,\nБір сағаттан бір сағат.\n\nСіз — қырғауыл жез қанат, \nАш бетінді, бері қарат. \nЖақындай бер жуықтап, \nТамағыңнан айқалат!"
1889,Қажымас дос халықта жоқ,"Қажымас дос халықта жоқ, \nАйнымас серт қайда бар?\nАлда көрген артта жоқ,\nМысқыл, өсек, айла бар.\n\nЖақсылығың күнде ұмыт,\nБір жаңылсаң, болды кек. \nПайдасынан бой суыт,\nӨзі тимей жүрсе тек.\n\nПайда, мақтан өзінен,\nАртыла ма ант ұрып?\nЖарыса өсек сөзінен,\nАйта берсін шарқ ұрып.\n\nКімге достық көп еттім,\nТүбі болды бір кейіс.\nЖақсы өмірім, әуре өттің\nЖар таба алмай бір тегіс.\n\nЖау қожаңдап бұртайып,\nДос құбылып, әуре етер.\nКімі тентек, кімде айып, \nТексере алмай өмір өтер.\n\nСыйласарлық тектінің,\nКім танымас нұсқасын?\nКүнде өзімшіл ептінің,\nНесін адам ұстасын?"
1889,Қор болды жаным,"Қор болды жаным,\nСенсізде менің күнім,\nБек бітті халім,\nТағдырдан келген зұлым. \nТағдыр етсе Алла,\nНе көрмейді пәндә?\n\nСайрай бер, тілім,\nСарғайған соң бұл дерттен. \nБүгілді белім,\nЖар тайған соң әр серттен. \nҚамырықты көңіл, \nҚайтсе болар жеңіл?\n\nСағындым сені,\nКөрмедім деп көп заман. \nАдам деп мені,\nСалмадың сен хат маған. \nЖай таба алмай жүрек,\nЖасыған соң сүйек.\n\nБұл қылған зарым \nБарса жардың маңына,\nОл — қылған дәрім \nБарса ғашық жанына. \nОңалдырып ойды,\nТүзетпей ме бойды?"
1889,Қыз сөзі,"Қиыстырып мақтайсыз,\nОйласаң не таппайсыз?\nБізде ерік жоқ, өзің біл,\nӘлде неге бастайсыз.\n\nБіз де әркімді байқаймыз,\nТап бергеннен тайқаймыз.\nСіздей асыл кез болса,\nҚайтіп басты шайқаймыз?\n\nАқылыңа сөзің сай,\nСіз — жалын шоқ, біз — бір май. \nЫстық сөзің кірді ішке,\nМай тұра ма шыжымай.\n\nҚабыл көрсең, көңілім жай,\nТастап кетсең, япырмай,\nИт қор адам болар ма,\nБұл жалғанда сорлыңдай?\n\nТілегімді бермесең,\nАмалым не жерлесең?\nҮйір қылма бойыңа,\nШыны жақсы көрмесең.\n\nҚайғың болар шермен тең,\nҚара көңілім жермен тең.\nСенсіз маған жат төсек \nБолар бейне көрмен тең.\n\nСіз — бір сұңқар шаһбаз,\nЖер жүзінен алған баж.\nБіздей ғаріп есепсіз,\nЕсігіңде жүр мұқтаж.\n\nКөңілің тұрса бізді алып,\nШыныменен қозғалып,\nБіз — қырғауыл, сіз — тұйғын, \nТояттай бер, кел де алып.\n\nТал жібектей оралып,\nГүл шыбықтай бұралып. \nСалмағыңнан жаншылып, \nҚалсын құмар бір қанып…\n\nМұны жаздым ойланып,\nОйда бардан толғанып.\nКірсе ішіңе оқи бер, \nБозбалалар, қолға алып.\n\nМұны оқыса кім танып, \nЖүрегіне от жанып,\nСөзді ұғарлық жан тапса,\nАйтса жарар ән салып.\n\nӨлең жиған тырбанып,\nӘн үйренген ырғалып.\nСорлы Көкбай қор болды-ау, \nОсыншадан құр қалып."
1889,Мәз болады болысың,"Мәз болады болысың,\nАрқаға ұлық қаққанға. \nШелтірейтіп орысың,\nШенді шекпен жапқанға.\n\nКүнде жақсы бола ма,\nБір қылығы жаққанға? \nОқалы тон тола ма, \nАр-ұятын сатқанға?!\n\nКүлмең қағып қасқайып, \nСалынып ап мақтанға.\nТаң қаламын қампайып, \nЖоқты-барды шатқанға.\n\nҮйі мәз боп, қой сойды \nШүйіншіге шапқанға.\nӘуре қылды, салды ойды \nҮйдегі тыныш жатқанға.\n\nЕш нәрсе емес жұбанар \nАқыл көзбен баққанға.\nЖас баладай қуанар,\nБір тәттіні татқанға.\n\nКөзі барлар ойының \nКүлер көтін ашқанға, \nҚасиетін бойының \nБекер төгіп шашқанға.\n\nҚуанарлық қыз емес \nЖылтырауық таққанға. \nӨзгелерді, біз емес,\nТүсірмекші қақпанға.\n\nОсы да есеп бола ма \nАр, абұйыр тапқанға?\nМиың болса жолама \nБос желігіп шапқанға.\n\nБір бес надан, оңбассың,\nНансаң, онын қосқанға.\nЖасық, жаман болмассың,\nЖамандықтан қашқанға.\n\nОл «болдым-ақ» дей берер,\nБұлғақ қағып басқанға.\nЕлең қағып елбірер,\nЕлертіп көзді аспанға.\n\nЖайы мәлім шошқаның,\nТүрткенінен жасқанба.\nБір ғылымнан басқаның\nКеселі көп асқанға.\n\nОдан үміт кім қылар,\nЖол табар деп сасқанда?\nҮйтіп асқан жолығар\nКешікпей-ақ тосқанға."
